iso3a,iso3b
AFG,CHN
AFG,IRN
AFG,PAK
AFG,TJK
AFG,TKM
AFG,UZB
AGO,COD
AGO,COG
AGO,NAM
AGO,ZMB
ALB,GRC
ALB,MKD
ALB,MNE
ALB,SRB
ALB,XKX
AND,ESP
AND,FRA
ANT,GLP
ARE,OMN
ARE,SAU
ARG,BOL
ARG,BRA
ARG,CHL
ARG,PRY
ARG,URY
ARM,AZE
ARM,GEO
ARM,IRN
ARM,TUR
AUT,CHE
AUT,CZE
AUT,DEU
AUT,HUN
AUT,ITA
AUT,LIE
AUT,SVK
AUT,SVN
AZE,ARM
AZE,GEO
AZE,IRN
AZE,RUS
AZE,TUR
BDI,COD
BDI,RWA
BDI,TZA
BEL,DEU
BEL,FRA
BEL,LUX
BEL,NLD
BEN,BFA
BEN,NER
BEN,NGA
BEN,TGO
BFA,BEN
BFA,CIV
BFA,GHA
BFA,MLI
BFA,NER
BFA,TGO
BGD,IND
BGD,MMR
BGR,GRC
BGR,MKD
BGR,ROU
BGR,SRB
BGR,TUR
BIH,HRV
BIH,MNE
BIH,SRB
BLR,LTU
BLR,LVA
BLR,POL
BLR,RUS
BLR,UKR
BLZ,GTM
BLZ,MEX
BOL,ARG
BOL,BRA
BOL,CHL
BOL,PER
BOL,PRY
BRA,ARG
BRA,BOL
BRA,COL
BRA,GUF
BRA,GUY
BRA,PER
BRA,PRY
BRA,SUR
BRA,URY
BRA,VEN
BRN,MYS
BTN,CHN
BTN,IND
BWA,NAM
BWA,ZAF
BWA,ZWE
CAF,CMR
CAF,COD
CAF,COG
CAF,SDN
CAF,SSD
CAF,TCD
CAN,USA
CHE,AUT
CHE,DEU
CHE,FRA
CHE,ITA
CHE,LIE
CHL,ARG
CHL,BOL
CHL,PER
CHN,AFG
CHN,BTN
CHN,IND
CHN,KAZ
CHN,KGZ
CHN,LAO
CHN,MMR
CHN,MNG
CHN,NPL
CHN,PAK
CHN,PRK
CHN,RUS
CHN,TJK
CHN,VNM
CIV,BFA
CIV,GHA
CIV,GIN
CIV,LBR
CIV,MLI
CMR,CAF
CMR,COG
CMR,GAB
CMR,GNQ
CMR,NGA
CMR,TCD
COD,AGO
COD,BDI
COD,CAF
COD,COG
COD,RWA
COD,SSD
COD,TZA
COD,UGA
COD,ZMB
COG,AGO
COG,CAF
COG,CMR
COG,COD
COG,GAB
COL,BRA
COL,ECU
COL,PAN
COL,PER
COL,VEN
CRI,NIC
CRI,PAN
CUB,USA
CZE,AUT
CZE,DEU
CZE,POL
CZE,SVK
DEU,AUT
DEU,BEL
DEU,CHE
DEU,CZE
DEU,DNK
DEU,FRA
DEU,LUX
DEU,NLD
DEU,POL
DJI,ERI
DJI,ETH
DJI,SOM
DNK,DEU
DOM,HTI
DZA,ESH
DZA,LBY
DZA,MAR
DZA,MLI
DZA,MRT
DZA,NER
DZA,TUN
ECU,COL
ECU,PER
EGY,ISR
EGY,LBY
EGY,PSE
EGY,SDN
ERI,DJI
ERI,ETH
ERI,SDN
ESH,DZA
ESH,MAR
ESH,MRT
ESP,AND
ESP,FRA
ESP,GIB
ESP,MAR
ESP,PRT
EST,LVA
EST,RUS
ETH,DJI
ETH,ERI
ETH,KEN
ETH,SDN
ETH,SOM
ETH,SSD
FIN,NOR
FIN,RUS
FIN,SWE
FRA,AND
FRA,BEL
FRA,CHE
FRA,DEU
FRA,ESP
FRA,ITA
FRA,LUX
FRA,MCO
GAB,CMR
GAB,COG
GAB,GNQ
GBR,IRL
GEO,ARM
GEO,AZE
GEO,RUS
GEO,TUR
GHA,BFA
GHA,CIV
GHA,TGO
GIB,ESP
GIN,CIV
GIN,GNB
GIN,LBR
GIN,MLI
GIN,SEN
GIN,SLE
GMB,SEN
GNB,GIN
GNB,SEN
GNQ,CMR
GNQ,GAB
GRC,ALB
GRC,BGR
GRC,MKD
GRC,TUR
GTM,BLZ
GTM,HND
GTM,MEX
GTM,SLV
GUF,BRA
GUF,SUR
GUY,BRA
GUY,SUR
GUY,VEN
HND,GTM
HND,NIC
HND,SLV
HRV,BIH
HRV,HUN
HRV,MNE
HRV,SRB
HRV,SVN
HTI,DOM
HUN,AUT
HUN,HRV
HUN,ROU
HUN,SRB
HUN,SVK
HUN,SVN
HUN,UKR
IDN,MYS
IDN,PNG
IDN,TLS
IND,BGD
IND,BTN
IND,CHN
IND,MMR
IND,NPL
IND,PAK
IRL,GBR
IRN,AFG
IRN,ARM
IRN,AZE
IRN,IRQ
IRN,PAK
IRN,TKM
IRN,TUR
IRQ,IRN
IRQ,JOR
IRQ,KWT
IRQ,SAU
IRQ,SYR
IRQ,TUR
ISR,EGY
ISR,JOR
ISR,LBN
ISR,PSE
ISR,SYR
ITA,AUT
ITA,CHE
ITA,FRA
ITA,SMR
ITA,SVN
ITA,VAT
JOR,IRQ
JOR,ISR
JOR,PSE
JOR,SAU
JOR,SYR
KAZ,CHN
KAZ,KGZ
KAZ,RUS
KAZ,TKM
KAZ,UZB
KEN,ETH
KEN,SOM
KEN,SSD
KEN,TZA
KEN,UGA
KGZ,CHN
KGZ,KAZ
KGZ,TJK
KGZ,UZB
KHM,LAO
KHM,THA
KHM,VNM
KOR,PRK
KWT,IRQ
KWT,SAU
LAO,CHN
LAO,KHM
LAO,MMR
LAO,THA
LAO,VNM
LBN,ISR
LBN,SYR
LBR,CIV
LBR,GIN
LBR,SLE
LBY,DZA
LBY,EGY
LBY,NER
LBY,SDN
LBY,TCD
LBY,TUN
LIE,AUT
LIE,CHE
LSO,ZAF
LTU,BLR
LTU,LVA
LTU,POL
LTU,RUS
LUX,BEL
LUX,DEU
LUX,FRA
LVA,BLR
LVA,EST
LVA,LTU
LVA,RUS
MAF,SXM
MAR,DZA
MAR,ESH
MAR,ESP
MCO,FRA
MDA,ROU
MDA,UKR
MEX,BLZ
MEX,GTM
MEX,USA
MKD,ALB
MKD,BGR
MKD,GRC
MKD,SRB
MKD,XKX
MLI,BFA
MLI,CIV
MLI,DZA
MLI,GIN
MLI,MRT
MLI,NER
MLI,SEN
MMR,BGD
MMR,CHN
MMR,IND
MMR,LAO
MMR,THA
MNE,ALB
MNE,BIH
MNE,HRV
MNE,SRB
MNE,XKX
MNG,CHN
MNG,RUS
MOZ,MWI
MOZ,SWZ
MOZ,TZA
MOZ,ZAF
MOZ,ZMB
MOZ,ZWE
MRT,DZA
MRT,ESH
MRT,MLI
MRT,SEN
MWI,MOZ
MWI,TZA
MWI,ZMB
MYS,BRN
MYS,IDN
MYS,THA
NAM,AGO
NAM,BWA
NAM,ZAF
NAM,ZMB
NER,BEN
NER,BFA
NER,DZA
NER,LBY
NER,MLI
NER,NGA
NER,TCD
NGA,BEN
NGA,CMR
NGA,NER
NGA,TCD
NIC,CRI
NIC,HND
NLD,BEL
NLD,DEU
NOR,FIN
NOR,RUS
NOR,SWE
NPL,CHN
NPL,IND
OMN,ARE
OMN,SAU
OMN,YEM
PAK,AFG
PAK,CHN
PAK,IND
PAK,IRN
PAN,COL
PAN,CRI
PER,BOL
PER,BRA
PER,CHL
PER,COL
PER,ECU
PNG,IDN
POL,BLR
POL,CZE
POL,DEU
POL,LTU
POL,RUS
POL,SVK
POL,UKR
PRK,CHN
PRK,KOR
PRK,RUS
PRT,ESP
PRY,ARG
PRY,BOL
PRY,BRA
PSE,EGY
PSE,ISR
PSE,JOR
QAT,SAU
ROU,BGR
ROU,HUN
ROU,MDA
ROU,SRB
ROU,UKR
RUS,AZE
RUS,BLR
RUS,CHN
RUS,EST
RUS,FIN
RUS,GEO
RUS,KAZ
RUS,LTU
RUS,LVA
RUS,MNG
RUS,NOR
RUS,POL
RUS,PRK
RUS,UKR
RWA,BDI
RWA,COD
RWA,TZA
RWA,UGA
SAU,ARE
SAU,IRQ
SAU,JOR
SAU,KWT
SAU,OMN
SAU,QAT
SAU,YEM
SCG,ALB
SCG,BGR
SCG,BIH
SCG,HRV
SCG,HUN
SCG,MKD
SCG,ROU
SDN,CAF
SDN,EGY
SDN,ERI
SDN,ETH
SDN,LBY
SDN,SSD
SDN,TCD
SEN,GIN
SEN,GMB
SEN,GNB
SEN,MLI
SEN,MRT
SLE,GIN
SLE,LBR
SLV,GTM
SLV,HND
SMR,ITA
SOM,DJI
SOM,ETH
SOM,KEN
SRB,ALB
SRB,BGR
SRB,BIH
SRB,HRV
SRB,HUN
SRB,MKD
SRB,MNE
SRB,ROU
SRB,XKX
SSD,CAF
SSD,COD
SSD,ETH
SSD,KEN
SSD,SDN
SSD,UGA
SUR,BRA
SUR,GUF
SUR,GUY
SVK,AUT
SVK,CZE
SVK,HUN
SVK,POL
SVK,UKR
SVN,AUT
SVN,HRV
SVN,HUN
SVN,ITA
SWE,FIN
SWE,NOR
SWZ,MOZ
SWZ,ZAF
SXM,MAF
SYR,IRQ
SYR,ISR
SYR,JOR
SYR,LBN
SYR,TUR
TCD,CAF
TCD,CMR
TCD,LBY
TCD,NER
TCD,NGA
TCD,SDN
TGO,BEN
TGO,BFA
TGO,GHA
THA,KHM
THA,LAO
THA,MMR
THA,MYS
TJK,AFG
TJK,CHN
TJK,KGZ
TJK,UZB
TKM,AFG
TKM,IRN
TKM,KAZ
TKM,UZB
TLS,IDN
TUN,DZA
TUN,LBY
TUR,ARM
TUR,AZE
TUR,BGR
TUR,GEO
TUR,GRC
TUR,IRN
TUR,IRQ
TUR,SYR
TZA,BDI
TZA,COD
TZA,KEN
TZA,MOZ
TZA,MWI
TZA,RWA
TZA,UGA
TZA,ZMB
UGA,COD
UGA,KEN
UGA,RWA
UGA,SSD
UGA,TZA
UKR,BLR
UKR,HUN
UKR,MDA
UKR,POL
UKR,ROU
UKR,RUS
UKR,SVK
URY,ARG
URY,BRA
USA,CAN
USA,CUB
USA,MEX
UZB,AFG
UZB,KAZ
UZB,KGZ
UZB,TJK
UZB,TKM
VAT,ITA
VEN,BRA
VEN,COL
VEN,GUY
VNM,CHN
VNM,KHM
VNM,LAO
XKX,ALB
XKX,MKD
XKX,MNE
XKX,SRB
YEM,OMN
YEM,SAU
ZAF,BWA
ZAF,LSO
ZAF,MOZ
ZAF,NAM
ZAF,SWZ
ZAF,ZWE
ZMB,AGO
ZMB,COD
ZMB,MOZ
ZMB,MWI
ZMB,NAM
ZMB,TZA
ZMB,ZWE
ZWE,BWA
ZWE,MOZ
ZWE,ZAF
ZWE,ZMB
